,BAD_1_1,BAD_14_2,BAD_18_1,BAD_3_1,BAD_8_1,FOUM_14_2,FOUM_17_2,FOUM_3_1,FOUM_7_2,FOUM_8_2,HS_16_2,HS_18_2,HS_3_1,HS_7_1,HS_FA_2_2,IR_10_2,IR_13_1,IR_17_1,IR_4_2,IR_7_1,NI_13_2,NI_16_2,NI_19_1,NI_3_1,NI_7_2,TE_1_10_1_2,TE_11_20_1_2,TE_21_30_1_1,TE_6_43_1,TE_FA_1_1
99e0ae6d26db2b352b81cd3c331d046b906c9d70,811,203,0,134,158,612,0,272,88,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad7163af9e1a8f1911168590f8fb39f0eac73f34,35,80,0,0,135,53,144,39,0,141,72,71,160,0,0,0,0,92,0,0,38,152,231,74,150,174,84,234,76,115
50e0f260d0e572dccedbac27b52ad06007ef699d,0,120,148,0,0,123,0,0,117,0,0,0,145,0,0,77,84,222,0,186,159,135,145,0,222,49,119,159,0,135
10166b0023509bad974200a243f6335f3bd03571,132,137,102,166,198,142,171,182,449,241,0,0,0,0,0,40,0,66,0,0,0,0,0,0,0,0,0,37,105,162
03154104ff9e7b03dce52cdddbefdcb61f42b742,0,0,0,0,0,0,282,0,0,0,58,83,226,0,0,0,0,104,0,0,0,347,332,0,140,154,197,295,0,103
ef17523c49964b7f100f5807199805c1c1ab6034,0,54,0,0,146,0,75,0,0,87,137,81,293,201,0,154,34,306,0,0,114,68,0,58,82,0,0,0,278,100
9d74a98a02121766ed4d0c571de6bebfbea25e14,0,0,0,0,0,0,88,0,0,0,69,72,471,50,0,0,0,137,0,0,0,212,214,0,95,154,65,151,151,265
778834df1093d4dbfd181429df5e3f4037167063,158,56,0,110,175,114,360,85,245,195,0,0,115,0,0,0,0,51,0,0,0,0,300,0,0,45,37,84,0,51
35ff695c402132fc03bfe238da37b6b586213d4a,236,206,0,449,140,117,143,252,290,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eb61830f246b7a6b89785fa6390e2a2b13d1fd67,50,125,0,132,131,42,160,47,114,118,0,0,92,0,0,0,0,107,0,0,0,88,83,0,86,95,209,364,0,101
fbd03a6081123ac3aa3178416f39014ac4523f73,65,199,197,0,103,326,0,517,155,100,72,0,0,122,0,0,0,154,0,33,59,0,0,0,0,0,0,0,0,35
172bd9636c1c2d49235378b1acb599673b1b3030,0,0,229,0,0,0,0,0,0,0,181,0,0,274,0,141,232,0,168,449,0,0,0,150,195,0,0,67,0,0
d0e93b1b28d814d61c3f148c68539503fe900f9a,0,54,0,0,0,0,162,0,77,128,0,0,110,0,0,58,0,154,0,0,0,94,176,0,145,123,118,373,96,168
f5b49b93f2a9ee0d7d36c96e99dce7a8dbbc7f14,0,0,0,0,64,0,306,0,0,151,0,0,112,0,0,0,0,0,0,0,0,0,81,0,300,179,168,502,0,161
e2eddd02ad678ec5beef726827eb96fe79465672,0,122,62,0,110,105,132,0,0,50,0,0,130,0,0,0,0,0,0,0,0,192,206,0,262,108,34,304,87,96
52ea0abce0ef62a7e5ade17e0882e1d1b9b2ed5a,0,0,0,0,0,0,0,0,0,0,126,0,0,248,0,173,270,183,0,377,0,0,270,207,0,0,0,0,99,0
1877134a60237396a70a50a44aaca9bf96fe4bb2,0,0,42,0,0,62,0,0,0,0,186,201,0,222,19,230,213,71,127,334,0,0,73,161,0,0,0,0,0,0
a0fd9925f4d385708f7a7c4274814cafd1ca55ac,0,0,0,0,0,0,0,0,0,195,108,70,138,313,0,64,29,314,128,165,66,98,80,0,0,0,0,0,167,0
340a1221de67b89e9ca6e81d9a61b77ebb0b07f1,0,114,0,0,0,6,331,0,11,110,26,0,156,0,0,0,0,37,0,0,0,71,43,16,259,39,314,157,32,190
bdb4d9d3165e85c06b3f3cf3228fdc792dd363d4,0,0,30,86,59,0,180,53,128,158,0,0,191,0,0,0,0,86,0,0,67,0,156,0,161,94,78,93,106,181
c0afa676ecc8518183ad30ba921ac7ce3669d27c,0,0,0,0,67,0,0,0,0,102,133,100,71,122,0,0,30,279,0,0,0,269,140,179,0,0,0,86,315,0
44cffb60d64e40bfffcfa72b1bbe1508458b61d2,11,16,0,34,65,35,205,0,48,93,80,0,138,0,0,0,0,87,0,0,158,136,115,0,159,0,112,152,123,98
8446a4c98f26ba767f4414c4c678122cdec55603,0,0,0,0,0,0,0,0,0,83,373,0,0,313,0,0,127,0,0,0,0,61,298,249,0,0,0,66,293,0
73a4df033cb9afe0d56a1a3e4a0416186b1c1565,0,31,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,598,727,48,0,310
3292e76beee15e06f104800c5e1737c700d53f9f,0,0,95,0,0,0,0,135,0,0,155,271,0,98,191,125,201,0,173,74,0,28,51,123,0,0,0,0,125,0
665e8364091f8b5e5acc53423b0d0c8781db20cc,0,251,0,495,241,25,0,0,46,117,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,97,146,0,0,274
a1ebd5c24e867ee4c6d90356e17394576ccd4b68,109,134,0,153,220,170,74,231,331,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
fc15b5bb0f8364d1f174d3018e7276c0c07259ba,0,0,0,0,0,0,0,0,0,0,0,26,163,0,0,12,0,108,0,0,0,251,129,0,312,143,138,235,65,216
8db513b6a7a903ddb12902f434eb95ba845c4660,91,51,0,70,131,183,137,172,265,256,0,0,0,63,0,0,0,0,0,0,0,0,0,0,57,123,28,0,115,43
9f0444b996a7cd93e524cd4cbaa50349cb5146fb,140,0,0,135,73,169,122,138,279,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,148,0,50,0,196
ab24e89b8394149376abcde80965ff2f3530fc8d,295,285,0,418,173,47,56,177,109,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
659bb0db1ac8a4ff05e3e7c6570155723f28177c,0,0,0,0,0,0,0,0,0,182,0,104,254,238,0,166,0,280,0,140,157,121,118,0,0,0,0,0,0,0
a552997d5c9eff49b45f9cebd751c6e4ab88bac9,0,0,0,0,0,0,0,0,0,0,0,173,37,201,371,182,105,81,104,193,0,0,65,186,0,0,0,0,52,7
6582edede7f99455c80e6740c60adc735ad941d1,0,0,0,0,0,0,0,0,0,0,267,387,0,0,0,308,177,0,311,0,0,81,0,223,0,0,0,0,0,0
75a326e83071ef5f0007688ca84cd6266f679fda,35,29,0,82,139,0,145,0,184,168,0,26,73,0,0,0,0,82,0,0,0,0,0,0,72,50,249,267,79,40
8c3ea54081bd912b21e3e8bbe1d9768be163bf6e,116,98,0,87,149,71,120,83,90,97,0,43,0,0,0,0,0,0,0,0,0,52,0,0,124,192,77,217,0,95
299478224fea6f166048dc8d081e89361e0d1813,289,173,0,312,140,113,300,78,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0
037beb262ea68973f6b475fed469fa7c377f7518,0,47,0,41,86,21,122,0,95,129,56,54,105,90,0,46,24,117,0,0,0,56,67,53,85,55,40,116,91,90
430a40d7beb9914c55928e764406d531d417ebcd,300,154,0,126,69,54,129,121,153,213,0,0,42,0,0,0,0,30,0,0,0,31,0,0,19,98,34,0,31,67
4cf4416cc0dc0b8ea07eeb8837b1866061d47130,0,0,123,36,92,0,61,98,104,122,76,0,124,130,0,0,0,141,0,0,0,103,112,154,0,0,0,0,192,0
646e11f9ecfb0e0024c5217fd1332a658610c39b,0,0,0,0,0,0,0,0,0,0,0,171,457,0,0,0,0,293,0,0,137,213,114,0,87,0,0,0,118,78
3d426872ab96d1e3ae21041ebd210c1f3450974b,0,0,0,0,0,1510,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d99932138391edee3c67d6b9b56cfc115949f9f8,80,124,0,506,84,233,0,256,214,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4702a136eed0b55860da446e67d93ed5e95dc3a,0,0,0,0,0,0,0,0,0,60,205,0,0,151,0,0,80,232,198,256,49,73,0,152,0,0,0,0,170,0
4e051bae92a948b4c44dae7ab9ef42c9c3d226f6,0,0,0,0,0,0,0,0,0,93,128,133,74,298,0,144,0,306,0,118,279,52,0,0,0,0,0,0,0,0
cb4a8b0d92ad10a543ef38d066ff2b1743f68901,0,0,0,0,0,0,0,129,104,0,121,106,122,0,0,0,0,0,0,0,0,0,278,68,0,310,0,383,0,0
28e955e363b4f45994ed766790435b29c331fd71,426,105,0,0,62,33,128,103,0,16,0,10,54,0,0,0,0,0,0,0,0,55,26,0,183,30,162,130,0,84
f643a56a87d2e30023baf2b0df73e5718b335f77,176,212,0,185,192,130,50,194,177,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0
248d2718df9bba9962729de63ce118475302eb65,51,93,0,80,85,138,91,0,169,95,79,0,56,81,0,0,0,74,0,0,0,0,86,102,0,72,0,79,89,73
6fb6d537612c75b374c10e8bad171dd7faa9ab87,0,0,0,0,0,0,0,0,0,0,124,0,135,91,0,387,156,115,203,189,60,0,0,130,0,0,0,0,0,0
46fc29f278607e27d25d99499d96d881b48b8607,195,161,0,188,192,0,185,172,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,56,116,0,35
9537d3a85e2e5172833615a39406f386821ae3d8,0,0,72,20,76,61,0,105,114,78,135,101,87,145,0,0,42,176,0,58,51,83,22,0,0,0,0,0,149,0
9618b911d1a2291cdd90ce66fdfb3884e85d52ca,0,0,0,0,75,0,32,0,39,59,97,123,111,115,53,93,126,0,61,112,0,75,112,42,0,48,0,21,80,94
dc9a44b98372900c67051daaa0b0964fdf4330fa,232,133,0,180,110,196,130,150,138,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,60,117,0,0
4b13a9b5cb2b2a70cb008d472e972e9705d80d88,0,81,0,98,45,0,63,0,0,0,60,110,238,0,0,0,0,0,0,0,35,0,0,0,0,115,391,0,0,295
e11a14ed0f0aa911a266372f1d9853da74343bfd,100,196,0,385,0,178,0,393,100,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
01b3f73666dce9b7f779c6a55d1047a6e28fd3a2,0,0,131,0,0,0,0,0,0,126,85,0,83,141,0,79,80,0,95,190,130,0,0,171,0,0,0,0,212,0
831fd859df7891f570b936ae62d2c38c619bf178,0,0,0,0,0,0,0,0,0,0,124,51,52,165,0,78,36,25,0,37,0,126,247,391,0,0,0,0,182,0
57d1f87ddfb0ed50b869816c843e05c911092425,388,40,0,24,46,59,127,64,157,130,0,0,20,13,0,0,0,21,0,0,0,8,39,0,40,112,24,77,44,78
970ed440d9a379bd6bc747f01883eed84c6bc3aa,199,0,0,0,0,0,362,0,0,212,0,0,0,0,0,0,0,0,0,0,0,481,131,0,0,0,0,0,121,0
450d9e3a32b3e9c2bed7cebe50c0e82eb88ca63e,186,341,0,277,53,0,101,31,54,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,95,45,0,108
0995c5218fc7977d4fbda42d99964db23a4dec91,0,108,167,104,0,0,0,0,0,0,126,0,176,0,0,0,0,102,0,124,187,209,0,0,0,0,0,0,90,86
b623bcc31beeb0ebc85aa5e6fb78a09fc3a316be,0,0,0,0,0,0,0,0,0,0,161,258,0,65,337,183,136,0,204,0,0,0,0,129,0,0,0,0,0,0
32c619ee9c229c32d2feefaeff1d1cf8a41054f6,32,146,0,198,259,76,0,0,104,0,94,0,104,0,0,0,0,111,0,0,0,56,12,0,0,0,206,41,31,0
11bd67a5eb0d82bbd669de33f2efad4bcdb1d4a2,163,149,0,142,205,0,57,251,150,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,64,42,75
1eeeff4890d2e5d28815c87714482c36b739e1ff,0,0,37,54,67,0,0,0,0,0,1,201,0,0,0,293,695,0,27,87,0,0,0,0,0,0,0,0,0,0
d24d080eb08c2ab194540a81198aad9cda7abeb6,35,53,26,54,76,60,63,55,77,159,34,0,108,92,0,28,0,87,0,0,46,0,115,63,0,69,9,33,86,19
7e86ccf5dbfa824f1aeb930d3f6e20db493bf908,0,90,0,0,0,0,0,0,0,0,134,0,294,0,127,0,0,88,0,0,0,167,0,0,0,0,243,158,0,145
1227a39aba080c320f1bcf6394ec6555afd2b237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,66,251,525,0,42
e0f45a4a7ada7e77df85b356ed94acf925e255d3,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9773e1e79139ac9a89fbce4ddc1f7383024d937,0,0,0,129,128,0,91,0,151,139,0,0,0,0,0,0,0,0,0,0,0,90,67,0,0,182,83,212,24,136
9599e18bb36d62a0dde831d614ed9b2533b8458c,0,36,0,0,27,0,180,0,0,0,0,68,90,0,0,0,0,0,0,0,0,193,194,0,254,78,90,88,0,122
db559c61feef280939218f9306550b69f1cf5195,0,35,0,0,0,0,43,0,0,9,0,59,0,0,0,0,0,0,0,0,0,134,123,0,308,125,119,218,59,188
84600f7928fbf8e23c997712073210c5ade7f775,0,0,116,0,0,85,0,0,0,0,97,88,0,83,0,188,239,0,111,202,0,0,0,171,0,0,0,0,0,0
ff1928064f60961ecf64dc4f0f39aacc6e4635dd,0,0,156,0,0,178,0,0,124,143,87,49,88,0,0,56,103,75,22,52,26,0,92,114,0,0,0,0,0,0
